unique_id,filename,source,corpus,date,word_count,path
FED_0219,FED_0219-2023-10-11.txt,FED,FED,2023-10-11,3188,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0219-2023-10-11.txt
FED_0160,FED_0160-2023-05-13.txt,FED,FED,2023-05-13,2037,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0160-2023-05-13.txt
FED_0030,FED_0030-2024-09-25.txt,FED,FED,2024-09-25,3711,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0030-2024-09-25.txt
FED_0438,FED_0438-2023-06-29.txt,FED,FED,2023-06-29,1721,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0438-2023-06-29.txt
FED_0054,FED_0054-2023-01-19.txt,FED,FED,2023-01-19,3056,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0054-2023-01-19.txt
FED_0376,FED_0376-2023-05-19.txt,FED,FED,2023-05-19,3392,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0376-2023-05-19.txt
FED_0279,FED_0279-2023-01-21.txt,FED,FED,2023-01-21,3019,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0279-2023-01-21.txt
FED_0429,FED_0429-2025-02-17.txt,FED,FED,2025-02-17,6510,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0429-2025-02-17.txt
FED_0439,FED_0439-2023-11-09.txt,FED,FED,2023-11-09,2375,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0439-2023-11-09.txt
FED_0197,FED_0197-2023-05-12.txt,FED,FED,2023-05-12,5599,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0197-2023-05-12.txt
FED_0246,FED_0246-2025-02-18.txt,FED,FED,2025-02-18,4697,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0246-2025-02-18.txt
FED_0206,FED_0206-2025-01-08.txt,FED,FED,2025-01-08,3490,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0206-2025-01-08.txt
FED_0156,FED_0156-2023-01-21.txt,FED,FED,2023-01-21,3019,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0156-2023-01-21.txt
FED_0450,FED_0450-2025-09-23.txt,FED,FED,2025-09-23,1261,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0450-2025-09-23.txt
FED_0115,FED_0115-2023-11-07.txt,FED,FED,2023-11-07,1459,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0115-2023-11-07.txt
FED_0248,FED_0248-2025-10-22.txt,FED,FED,2025-10-22,657,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0248-2025-10-22.txt
FED_0218,FED_0218-2022-08-17.txt,FED,FED,2022-08-17,3070,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0218-2022-08-17.txt
FED_0400,FED_0400-2021-08-03.txt,FED,FED,2021-08-03,1249,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0400-2021-08-03.txt
FED_0340,FED_0340-2024-05-17.txt,FED,FED,2024-05-17,4076,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0340-2024-05-17.txt
FED_0094,FED_0094-2023-02-27.txt,FED,FED,2023-02-27,4881,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0094-2023-02-27.txt
